NOM_ABREV_ORGAO;SGL_UF;NOM_LOCALIDADE;COD_TIPO_AUTOR;UO__Cod_;NOM_ABREV_UNID_ORCA;COD_AUTOR;COD_EMENDA;NOM_AUTOR;SGL_PARTIDO;FUNCPROG;SALDO;UF_AUTOR;Título;200;270;410;420;510
M. da Educação;AM;Manaus;01;26270;Fund. Univ. do Amazonas;3497;34970017;Vanessa Grazziotin;PC DO B;12.364.1073.6368.0136;200000;AM;Instrumental para Ensino e Pesquisa Destinado a Instituições Federais de Ensino Superior e Hospitais de Ensino - Aquisição de Equipamentos para a Farmácia-Escola - Manaus - AM;200000;200000;0;0;0
M. da Educação;AM;Manaus;01;26270;Fund. Univ. do Amazonas;3497;34970018;Vanessa Grazziotin;PC DO B;12.364.1073.4009.0020;300000;AM;Funcionamento de Cursos de Graduação - Manutenção do Internato Rural - Manaus - AM;300000;300000;11500;0;0
M. da Educação;AM;Manaus;01;26298;FNDE;1153;11530001;Humberto Michiles;PL;12.367.1374.0511.0096;100000;AM;APOIO AO DESENVOLVIMENTO DA EDUCAÇÃO ESPECIAL - Manaus-AM;100000;100000;99000;0;0
M. da Educação;AM;Manaus;02;26203;CEFET - AM;2037;20370002;Arthur Virgílio;PSDB;12.363.1062.6374.0050;50000;AM;Modernização e Recuperação de Infra-Estrutura Física de Instituições Federais de Educação Profissional - Aquisição de Equipamentos para Laboratórios de Construção Civil - Manaus - AM;50000;50000;0;0;0
M. da Educação;AM;Manaus;02;26270;Fund. Univ. do Amazonas;2037;20370001;Arthur Virgílio;PSDB;12.364.1073.6368.0118;100000;AM;Instrumental para Ensino e Pesquisa Destinado a Instituições Federais de Ensino Superior e Hospitais de Ensino - Aquisição de Equipamentos para as Atividades de Assistência, Ensino e Pesquisa na Área Médico-hospitalar (HUGV) - Manaus - AM;350000;350000;0;0;0
M. da Educação;AM;Manaus;08;26298;FNDE;7104;71040005;Bancada do Amazonas;S/PARTIDO;12.365.1065.09HJ.0036;1729600;AM;Apoio à Reestruturação da Rede Física Pública de Educação Infantil - em Manaus-AM;1729600;1729600;0;0;0
M. da Educação;AM;Rio Preto da Eva;02;26298;FNDE;2228;22280010;Gilberto Miranda;PFL;12.361.1376.0E01.0082;500000;AM;Apoio ao Desenvolvimento do Ensino Fundamental - Construção de Escola - Rio Preto da Eva - AM;500000;500000;0;0;0
M. da Educação;AM;São Gabriel da Cachoeira;01;26339;EAF- S.Gab. Cachoeira-AM;3497;34970003;Vanessa Grazziotin;PC DO B;12.363.1062.6374.0048;100000;AM;Modernização e Recuperação de Infra-Estrutura Física de Instituições Federais de Educação Profissional - Centro de Produção de Alevino - São Gabriel da Cachoeira - AM;100000;100000;93200;0;0
M. da Educação;AP;Amapá;01;26286;Fund. Univ. Fed. do Amapá;1128;11280003;Coronel Alves;PL;12.364.1073.6373.0016;200000;AP;Modernização e Recuperação da Infra-Estrutura Física das Instituições Federais de Ensino Superior e dos Hospitais de Ensino - No Estado do Amapá;530000;530000;228216,12;29991;29991
M. da Educação;AP;Amapá;01;26286;Fund. Univ. Fed. do Amapá;1132;11320006;Hélio Esteves;PT;12.364.1073.6373.0016;300000;AP;Modernização e Recuperação da Infra-Estrutura Física das Instituições Federais de Ensino Superior e dos Hospitais de Ensino - No Estado do Amapá;530000;530000;228216,12;29991;29991
